Id,Status
31547,functional
34980,functional
54744,functional
20884,non functional
42440,functional
60836,non functional
14809,functional
38827,functional
48963,non functional
37423,non functional
18654,functional
10648,functional
28457,non functional
71254,functional
17841,non functional
34551,functional
37838,functional
14455,non functional
11633,functional
64120,non functional
63126,non functional
24791,non functional
32277,functional
53224,functional
22652,functional
25096,non functional
34922,non functional
57159,functional
6044,non functional
10788,non functional
45554,functional
59524,non functional
18838,functional
15478,non functional
68170,non functional
62148,non functional
61849,functional
71031,functional
10239,functional
16800,functional
23790,functional
31825,non functional
2863,functional
32633,functional
68852,functional
53484,functional
67929,functional
17807,functional
39309,non functional
47049,non functional
23445,non functional
11138,functional
17861,functional
50161,functional
11010,functional
63682,functional
43688,functional
6487,functional
67477,functional
69367,non functional
71810,functional
60004,functional
56672,functional
43743,functional
51862,functional
22288,non functional
21694,functional
32970,non functional
46020,non functional
38823,functional
65972,functional
2130,functional
65428,functional
57901,functional
36453,non functional
9880,functional
23720,functional
51225,functional
9546,functional
46079,non functional
60185,functional
73313,functional
53703,functional
49651,functional
29277,non functional
72989,non functional
67773,functional
24392,non functional
38974,non functional
49849,non functional
73367,functional
23805,non functional
43923,functional
2739,non functional
35601,functional
8912,functional
14065,functional
48107,functional
7257,functional
29364,functional
60304,non functional
6600,functional
20025,functional
66662,functional
37111,functional
46778,functional
20953,functional
58157,functional
44054,functional
42230,functional
29721,functional
31251,non functional
42876,functional
45175,functional
29059,functional
35577,non functional
40930,functional
43348,non functional
43908,functional
23118,functional
13233,functional
61461,functional
45569,functional
44773,non functional
3821,non functional
67881,non functional
61549,non functional
10704,functional
49727,functional
69950,functional
36138,functional
41717,non functional
40425,functional
29454,functional
43716,non functional
38314,functional
48778,non functional
14146,non functional
65810,functional
69348,functional
50056,functional
31906,functional
38758,functional
60237,functional
31439,functional
54374,functional
26160,non functional
6218,functional
58337,non functional
31534,functional
22906,functional
10337,non functional
41212,functional
62478,functional
50565,functional
71837,functional
39725,functional
47520,functional
7874,non functional
73185,non functional
45966,functional
22431,non functional
31656,functional
70456,functional
29294,non functional
62929,non functional
13799,functional
64887,functional
40927,functional
61456,functional
68868,functional
72886,non functional
33467,non functional
37778,functional
37737,functional
10148,functional
49265,functional
67285,functional
20903,functional
41921,functional
20048,non functional
11058,non functional
42041,functional
9638,functional
21258,functional
48015,functional
73039,non functional
74190,non functional
39282,functional
44618,functional
18080,functional
54131,functional
18901,functional
59350,functional
56088,functional
30616,functional
45423,non functional
42528,functional
1449,non functional
3059,non functional
50649,functional
48372,functional
41494,non functional
11103,functional
49305,non functional
73417,functional
16061,functional
65850,functional
11804,non functional
60731,functional
56125,functional
39399,functional
61061,non functional
27422,functional
38810,functional
46559,non functional
25813,functional
53564,functional
21893,functional
48247,functional
62139,functional
69895,non functional
9812,non functional
35070,non functional
37728,non functional
60800,functional
3704,functional
71638,functional
71095,functional
68332,functional
15688,functional
12130,functional
63039,functional
16868,functional
2564,functional
16440,functional
5721,non functional
68473,functional
15051,functional
14756,non functional
21202,non functional
69255,functional
24178,functional
43000,functional
34106,functional
41903,functional
20392,functional
54422,functional
67103,non functional
23672,functional
22093,non functional
56430,functional
51,functional
67998,functional
71603,functional
18435,functional
31920,non functional
32000,functional
60135,functional
21605,non functional
46091,functional
56412,functional
69073,functional
45927,functional
9145,functional
42845,non functional
46357,non functional
65791,functional
9052,functional
36460,non functional
46845,non functional
21107,functional
19247,functional
23411,functional
72478,non functional
19896,functional
20968,functional
20081,functional
18924,functional
7540,functional
52175,non functional
52801,functional
28691,functional
23775,functional
56491,non functional
3202,functional
19044,functional
19268,functional
5224,functional
52311,non functional
72667,functional
46880,functional
9807,non functional
37441,functional
41383,functional
49426,functional
43302,functional
54758,non functional
3763,functional
34224,non functional
58985,functional
28812,functional
820,functional
54020,functional
689,non functional
35058,functional
67882,functional
69607,functional
65,functional
61843,functional
66349,non functional
5368,functional
7571,functional
3974,functional
70344,functional
66334,functional
42274,non functional
19358,functional
44107,functional
42710,functional
30963,functional
33051,non functional
27523,functional
45444,functional
72619,functional
28221,non functional
20654,non functional
68965,functional
12282,non functional
16614,functional
30851,functional
29330,functional
24334,non functional
22322,non functional
17427,functional
32758,functional
67637,functional
38191,functional
36213,functional
28738,non functional
45359,non functional
53121,functional
45209,non functional
43390,non functional
9320,non functional
40558,functional
54413,functional
56915,functional
71941,functional
36636,non functional
7419,functional
8623,functional
35343,functional
49571,non functional
51206,functional
3602,non functional
10517,functional
47108,functional
41214,functional
5362,non functional
3983,functional
24575,functional
26979,functional
47076,non functional
6814,functional
69577,functional
36847,functional
44424,non functional
62714,non functional
1860,functional
1171,functional
33799,non functional
15015,functional
3907,functional
12446,functional
3591,functional
38011,non functional
10481,functional
50244,functional
67000,non functional
36432,functional
6316,functional
53412,functional
58703,functional
60070,functional
36116,functional
38095,functional
28763,functional
22804,functional
26213,functional
42186,functional
41282,non functional
70863,non functional
53879,functional
23448,functional
1813,non functional
43256,functional
150,functional
26148,functional
67640,functional
52304,non functional
12880,non functional
71719,functional
20411,functional
6948,functional
73311,non functional
22682,non functional
33213,functional
19804,functional
64619,functional
56756,functional
55242,functional
70508,functional
38642,non functional
534,functional
30702,functional
56283,functional
65664,functional
15456,non functional
18529,non functional
35316,functional
54956,functional
74045,non functional
14314,non functional
18426,functional
17931,non functional
11303,functional
13293,functional
24290,functional
52946,non functional
47435,non functional
60501,functional
28723,functional
11304,functional
59971,functional
17485,functional
20495,functional
60936,non functional
52161,functional
63146,functional
21687,non functional
37127,non functional
17755,functional
67631,functional
7314,functional
48791,functional
64485,functional
48593,functional
32789,functional
35374,non functional
38565,non functional
70941,non functional
46221,non functional
1402,functional
24161,functional
14334,functional
39820,non functional
49,functional
40006,functional
56163,non functional
17176,functional
11544,functional
10642,functional
44119,functional
58679,functional
18766,functional
19958,non functional
31533,functional
11008,functional
19550,non functional
162,functional
51913,functional
59582,functional
11632,functional
69536,non functional
39642,functional
59727,non functional
59516,functional
32439,non functional
16133,functional
69104,functional
48263,non functional
32634,non functional
22433,functional
49864,non functional
21404,functional
12199,functional
7290,functional
42026,functional
64328,functional
70940,non functional
71747,non functional
50901,functional
59062,functional
14887,functional
38324,functional
58582,functional
69973,non functional
40796,functional
59685,non functional
63698,non functional
8907,non functional
55760,non functional
64544,non functional
57967,non functional
25391,non functional
70194,functional
46054,functional
31378,non functional
54778,functional
600,non functional
16360,functional
33554,functional
60783,non functional
63581,functional
45662,non functional
54812,functional
49287,functional
3270,functional
17687,non functional
68272,non functional
59142,non functional
66310,functional
15255,non functional
60020,non functional
60908,functional
44987,functional
57417,non functional
3412,functional
60914,non functional
5373,functional
44680,functional
5555,functional
42960,functional
37481,functional
9062,functional
15181,functional
68194,functional
31763,non functional
62243,functional
9765,functional
1140,non functional
71096,functional
28488,functional
73375,non functional
31965,non functional
23884,non functional
3910,non functional
32078,non functional
28247,non functional
53182,functional
37120,functional
59438,functional
54482,functional
28498,functional
10755,non functional
58279,non functional
28194,non functional
69779,functional
54667,non functional
63006,functional
23695,functional
11695,non functional
11297,functional
65201,functional
47464,non functional
31615,functional
28661,functional
28665,functional
56010,functional
15277,functional
64971,functional
53163,functional
59186,non functional
50333,non functional
43110,non functional
57918,functional
25300,functional
23652,functional
7366,functional
47130,functional
22303,functional
37748,non functional
17525,functional
41844,functional
15992,functional
46301,functional
33759,functional
22148,functional
6942,functional
10374,non functional
62772,non functional
42735,functional
3030,non functional
7779,non functional
31015,non functional
3673,functional
50065,non functional
3465,non functional
73587,functional
4516,functional
16560,functional
37977,non functional
67675,non functional
45006,functional
33820,functional
52043,functional
62883,functional
36319,functional
32820,functional
41280,functional
6074,non functional
28948,functional
19691,functional
61036,non functional
42543,functional
28765,functional
12834,functional
46977,functional
65052,functional
32723,functional
70494,non functional
16237,non functional
55974,functional
40947,functional
70761,functional
27861,non functional
46322,functional
66437,functional
5786,non functional
10482,functional
21995,functional
10744,non functional
8031,non functional
62570,non functional
26657,non functional
30037,non functional
71006,non functional
31548,functional
68987,non functional
49273,functional
7460,functional
49586,non functional
61809,functional
19615,functional
33203,functional
64363,functional
70223,functional
9020,functional
60302,functional
72559,functional
26808,functional
45276,non functional
4978,functional
9768,functional
7740,functional
69995,non functional
52621,functional
43016,non functional
65474,functional
17368,non functional
56460,functional
47653,functional
4985,functional
63808,functional
15367,non functional
33019,non functional
13304,non functional
10111,functional
23963,functional
52532,functional
15442,non functional
5004,functional
58403,non functional
43114,non functional
54189,non functional
61267,functional
9385,functional
17598,non functional
32556,non functional
33464,functional
27933,functional
65100,functional
64052,non functional
15489,functional
72407,functional
3791,non functional
3785,functional
48909,functional
12136,non functional
66948,functional
24923,non functional
21975,functional
42701,functional
58567,functional
47384,functional
23664,functional
