Id,Status
31547,functional
34980,non functional
54744,functional
20884,functional
42440,non functional
60836,functional
14809,functional
38827,functional
48963,non functional
37423,non functional
18654,non functional
10648,functional
28457,functional
71254,non functional
17841,functional
34551,functional
37838,functional
14455,functional
11633,functional
64120,functional
63126,non functional
24791,non functional
32277,non functional
53224,non functional
22652,non functional
25096,functional
34922,functional
57159,functional
6044,functional
10788,functional
45554,non functional
59524,functional
18838,non functional
15478,functional
68170,functional
62148,functional
61849,functional
71031,non functional
10239,functional
16800,non functional
23790,functional
31825,non functional
2863,functional
32633,functional
68852,functional
53484,functional
67929,functional
17807,functional
39309,non functional
47049,non functional
23445,functional
11138,non functional
17861,non functional
50161,non functional
11010,functional
63682,non functional
43688,non functional
6487,functional
67477,functional
69367,non functional
71810,functional
60004,functional
56672,non functional
43743,functional
51862,non functional
22288,non functional
21694,non functional
32970,non functional
46020,non functional
38823,non functional
65972,functional
2130,non functional
65428,functional
57901,non functional
36453,functional
9880,non functional
23720,non functional
51225,non functional
9546,functional
46079,non functional
60185,non functional
73313,functional
53703,functional
49651,functional
29277,functional
72989,functional
67773,functional
24392,functional
38974,non functional
49849,functional
73367,non functional
23805,non functional
43923,non functional
2739,functional
35601,functional
8912,functional
14065,functional
48107,non functional
7257,functional
29364,non functional
60304,functional
6600,non functional
20025,non functional
66662,non functional
37111,non functional
46778,functional
20953,functional
58157,functional
44054,functional
42230,non functional
29721,functional
31251,non functional
42876,functional
45175,functional
29059,functional
35577,functional
40930,non functional
43348,functional
43908,non functional
23118,non functional
13233,functional
61461,functional
45569,non functional
44773,functional
3821,non functional
67881,non functional
61549,functional
10704,functional
49727,functional
69950,functional
36138,non functional
41717,functional
40425,functional
29454,non functional
43716,functional
38314,functional
48778,functional
14146,non functional
65810,functional
69348,non functional
50056,functional
31906,non functional
38758,non functional
60237,non functional
31439,non functional
54374,non functional
26160,non functional
6218,functional
58337,non functional
31534,non functional
22906,functional
10337,non functional
41212,functional
62478,functional
50565,functional
71837,functional
39725,functional
47520,non functional
7874,non functional
73185,non functional
45966,non functional
22431,functional
31656,functional
70456,non functional
29294,non functional
62929,non functional
13799,non functional
64887,functional
40927,non functional
61456,functional
68868,functional
72886,non functional
33467,functional
37778,non functional
37737,functional
10148,functional
49265,non functional
67285,non functional
20903,functional
41921,functional
20048,non functional
11058,functional
42041,functional
9638,functional
21258,non functional
48015,non functional
73039,non functional
74190,functional
39282,functional
44618,functional
18080,functional
54131,non functional
18901,functional
59350,non functional
56088,non functional
30616,functional
45423,functional
42528,non functional
1449,functional
3059,non functional
50649,non functional
48372,non functional
41494,functional
11103,functional
49305,non functional
73417,functional
16061,functional
65850,functional
11804,non functional
60731,functional
56125,non functional
39399,non functional
61061,non functional
27422,non functional
38810,functional
46559,non functional
25813,non functional
53564,non functional
21893,non functional
48247,functional
62139,non functional
69895,functional
9812,functional
35070,functional
37728,functional
60800,functional
3704,functional
71638,functional
71095,functional
68332,non functional
15688,non functional
12130,functional
63039,functional
16868,functional
2564,non functional
16440,non functional
5721,functional
68473,functional
15051,functional
14756,non functional
21202,functional
69255,functional
24178,functional
43000,non functional
34106,non functional
41903,functional
20392,functional
54422,non functional
67103,functional
23672,non functional
22093,functional
56430,non functional
51,non functional
67998,functional
71603,non functional
18435,non functional
31920,non functional
32000,non functional
60135,non functional
21605,functional
46091,non functional
56412,non functional
69073,non functional
45927,functional
9145,functional
42845,functional
46357,functional
65791,functional
9052,non functional
36460,functional
46845,functional
21107,functional
19247,functional
23411,functional
72478,functional
19896,functional
20968,functional
20081,functional
18924,functional
7540,non functional
52175,non functional
52801,functional
28691,non functional
23775,functional
56491,functional
3202,functional
19044,functional
19268,functional
5224,non functional
52311,functional
72667,functional
46880,non functional
9807,non functional
37441,non functional
41383,functional
49426,functional
43302,functional
54758,non functional
3763,functional
34224,non functional
58985,non functional
28812,functional
820,non functional
54020,functional
689,non functional
35058,functional
67882,functional
69607,non functional
65,functional
61843,functional
66349,non functional
5368,functional
7571,functional
3974,non functional
70344,functional
66334,functional
42274,functional
19358,functional
44107,non functional
42710,functional
30963,functional
33051,functional
27523,functional
45444,functional
72619,functional
28221,functional
20654,non functional
68965,non functional
12282,functional
16614,functional
30851,non functional
29330,non functional
24334,functional
22322,non functional
17427,functional
32758,functional
67637,non functional
38191,non functional
36213,non functional
28738,functional
45359,non functional
53121,functional
45209,functional
43390,non functional
9320,functional
40558,functional
54413,functional
56915,non functional
71941,functional
36636,functional
7419,functional
8623,functional
35343,non functional
49571,non functional
51206,non functional
3602,non functional
10517,non functional
47108,non functional
41214,functional
5362,functional
3983,functional
24575,non functional
26979,functional
47076,functional
6814,functional
69577,functional
36847,non functional
44424,non functional
62714,non functional
1860,functional
1171,functional
33799,functional
15015,functional
3907,functional
12446,non functional
3591,non functional
38011,non functional
10481,functional
50244,functional
67000,functional
36432,functional
6316,non functional
53412,non functional
58703,functional
60070,non functional
36116,non functional
38095,functional
28763,functional
22804,non functional
26213,functional
42186,functional
41282,non functional
70863,non functional
53879,functional
23448,non functional
1813,functional
43256,non functional
150,non functional
26148,functional
67640,non functional
52304,non functional
12880,non functional
71719,functional
20411,functional
6948,functional
73311,non functional
22682,non functional
33213,functional
19804,functional
64619,functional
56756,non functional
55242,functional
70508,non functional
38642,non functional
534,functional
30702,functional
56283,functional
65664,functional
15456,functional
18529,functional
35316,non functional
54956,functional
74045,functional
14314,functional
18426,functional
17931,functional
11303,functional
13293,functional
24290,non functional
52946,non functional
47435,functional
60501,functional
28723,functional
11304,non functional
59971,functional
17485,functional
20495,non functional
60936,non functional
52161,non functional
63146,non functional
21687,functional
37127,non functional
17755,non functional
67631,functional
7314,functional
48791,functional
64485,non functional
48593,functional
32789,functional
35374,functional
38565,functional
70941,functional
46221,functional
1402,functional
24161,functional
14334,functional
39820,functional
49,non functional
40006,non functional
56163,functional
17176,functional
11544,non functional
10642,non functional
44119,non functional
58679,functional
18766,non functional
19958,functional
31533,functional
11008,non functional
19550,functional
162,functional
51913,functional
59582,non functional
11632,functional
69536,functional
39642,functional
59727,non functional
59516,non functional
32439,functional
16133,non functional
69104,non functional
48263,functional
32634,functional
22433,non functional
49864,functional
21404,functional
12199,functional
7290,non functional
42026,non functional
64328,non functional
70940,non functional
71747,functional
50901,functional
59062,functional
14887,functional
38324,non functional
58582,non functional
69973,non functional
40796,functional
59685,non functional
63698,non functional
8907,non functional
55760,functional
64544,non functional
57967,non functional
25391,functional
70194,non functional
46054,functional
31378,non functional
54778,non functional
600,functional
16360,functional
33554,functional
60783,non functional
63581,non functional
45662,non functional
54812,functional
49287,functional
3270,non functional
17687,non functional
68272,functional
59142,functional
66310,non functional
15255,non functional
60020,non functional
60908,non functional
44987,functional
57417,functional
3412,non functional
60914,functional
5373,non functional
44680,functional
5555,functional
42960,functional
37481,functional
9062,functional
15181,functional
68194,functional
31763,functional
62243,functional
9765,functional
1140,functional
71096,non functional
28488,non functional
73375,functional
31965,non functional
23884,functional
3910,non functional
32078,functional
28247,functional
53182,functional
37120,functional
59438,functional
54482,non functional
28498,functional
10755,functional
58279,functional
28194,non functional
69779,functional
54667,functional
63006,functional
23695,functional
11695,non functional
11297,functional
65201,non functional
47464,non functional
31615,functional
28661,non functional
28665,functional
56010,functional
15277,functional
64971,non functional
53163,functional
59186,non functional
50333,non functional
43110,functional
57918,functional
25300,functional
23652,non functional
7366,functional
47130,functional
22303,functional
37748,functional
17525,functional
41844,non functional
15992,non functional
46301,non functional
33759,non functional
22148,functional
6942,functional
10374,functional
62772,non functional
42735,non functional
3030,functional
7779,non functional
31015,functional
3673,functional
50065,functional
3465,non functional
73587,non functional
4516,functional
16560,functional
37977,non functional
67675,functional
45006,functional
33820,functional
52043,functional
62883,non functional
36319,functional
32820,non functional
41280,functional
6074,functional
28948,functional
19691,functional
61036,functional
42543,functional
28765,non functional
12834,non functional
46977,functional
65052,functional
32723,non functional
70494,functional
16237,functional
55974,functional
40947,functional
70761,functional
27861,functional
46322,non functional
66437,functional
5786,functional
10482,non functional
21995,non functional
10744,functional
8031,functional
62570,non functional
